Date - Sun, 28 Apr 2024 16:35:48 GMT | Method - POST | URL - /users/login | Status - 302
Date - Sun, 28 Apr 2024 16:35:48 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 16:35:48 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:35:59 GMT | Method - GET | URL - / | Status - 304
Date - Sun, 28 Apr 2024 16:35:59 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:36:01 GMT | Method - GET | URL - /users/logout | Status - 302
Date - Sun, 28 Apr 2024 16:36:01 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 16:36:01 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:36:02 GMT | Method - GET | URL - /users/reg | Status - 304
Date - Sun, 28 Apr 2024 16:36:02 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:36:04 GMT | Method - GET | URL - /users/login | Status - 200
Date - Sun, 28 Apr 2024 16:36:04 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:36:08 GMT | Method - POST | URL - /users/login | Status - 302
Date - Sun, 28 Apr 2024 16:36:08 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 16:36:08 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:41:56 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 16:41:56 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:51:30 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 16:51:30 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:51:59 GMT | Method - GET | URL - / | Status - 304
Date - Sun, 28 Apr 2024 16:51:59 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:52:00 GMT | Method - GET | URL - /users/login | Status - 200
Date - Sun, 28 Apr 2024 16:52:00 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:52:04 GMT | Method - POST | URL - /users/login | Status - 302
Date - Sun, 28 Apr 2024 16:52:04 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 16:52:04 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:52:05 GMT | Method - GET | URL - / | Status - 304
Date - Sun, 28 Apr 2024 16:52:05 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:52:17 GMT | Method - GET | URL - / | Status - 304
Date - Sun, 28 Apr 2024 16:52:17 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:52:55 GMT | Method - GET | URL - /profile | Status - 200
Date - Sun, 28 Apr 2024 16:52:55 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:59:29 GMT | Method - GET | URL - /profile | Status - 200
Date - Sun, 28 Apr 2024 16:59:29 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:59:32 GMT | Method - GET | URL - / | Status - 200
Date - Sun, 28 Apr 2024 16:59:32 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Sun, 28 Apr 2024 16:59:36 GMT | Method - GET | URL - /users/login | Status - 200
Date - Sun, 28 Apr 2024 16:59:36 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
